ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105341098|XLOC_027060|60_kDa_SS-A/Ro_ribonucleoprotein	61.2034	153.157	61.2746	88.755
LOC105341116|XLOC_030066|serine/threonine-protein_phosphatase_2B_catalytic_subunit	220.715	443.571	244.896	352.772
LOC105341248|XLOC_010599|succinate_dehydrogenase_[ubiquinone]_iron-sulfur_subunit,_mitochondrial	222.67	158.392	398.686	211.627
LOC105341299|XLOC_003663|alkaline_phosphatase	660.397	300.836	994.629	397.352
LOC105341558|XLOC_011240|neprilysin-1-like	11815.3	5883.55	13970.9	6282.87
LOC105342011|XLOC_028083|zinc_metalloproteinase_nas-39-like	531.33	125.537	463.864	292.529
LOC105342217|XLOC_036866|chorion_peroxidase-like	361.305	0	1475.68	87.1205
LOC105342266|XLOC_014314|lysine-specific_demethylase_5A-like	558.212	972.804	716.484	504.871
LOC105342456|XLOC_016846|protein_adenylyltransferase_SelO,_mitochondrial	92.0641	20.8344	105.721	50.1999
LOC105342659|XLOC_028161|RING_finger_protein_11	43.0485	0	73.8457	22.9936
LOC105342879|XLOC_038523|histone_deacetylase_4	123.189	230.517	173.779	129.96
LOC105342880|XLOC_037752|alpha-amylase	238.961	96.2438	431.614	290.292
LOC105343050|XLOC_035583|snake_venom_5'-nucleotidase	643.771	468.329	910.559	418.505
LOC105343069|XLOC_034529|DNA_polymerase_alpha_catalytic_subunit	282.786	465.693	133.932	380.056
LOC105343567|XLOC_004402|DNA_topoisomerase_2-alpha	145.631	306.064	120.976	221.881
LOC105343886|XLOC_023778|bromodomain_adjacent_to_zinc_finger_domain_protein_1A	855.122	1197.33	550.112	870.546
LOC105343886|XLOC_023780|bromodomain_adjacent_to_zinc_finger_domain_protein_1A	124.2	517.093	109.164	486.823
LOC105343889|XLOC_021304|uridine_diphosphate_glucose_pyrophosphatase_NUDT22	571.439	478.51	795.553	694.393
