tracking_id	E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_000827	109.832	74.0498	77.9905	67.9703	68.6929	119.477	90.1673	110.516	84.3907	24.3222	41.9857	32.0154
XLOC_000832	63.7027	72.4223	66.3367	21.4643	11.7759	13.5257	59.2528	49.782	41.5656	16.2148	31.1005	14.9405
XLOC_000835	6.58994	0	1.79288	0	7.85062	6.76285	3.43495	0.995639	0	0	0	0
XLOC_000836	2.19665	0.813734	0.896442	2.38492	8.83194	3.38142	0	0	0	0	0.777513	2.84582
XLOC_000837	57.1128	35.8043	44.8221	17.8869	12.7573	11.2714	87.5911	79.6512	65.4973	37.0624	18.6603	31.304
XLOC_000859	135.094	156.237	174.806	195.564	157.012	199.504	116.788	127.442	143.59	221.216	203.708	160.789
XLOC_000860	105.439	110.668	117.434	177.677	177.62	213.03	72.9926	96.577	115.88	164.465	160.945	160.077
XLOC_000861	174.633	186.345	204.389	180.062	221.78	194.995	139.974	138.394	197.751	258.279	241.806	228.377
XLOC_000862	47.2279	32.5494	38.547	53.6608	56.917	57.4842	22.3271	21.9041	54.1612	45.1698	67.6436	66.1652
XLOC_000864	146.077	253.885	245.625	293.345	305.193	280.658	229.283	203.11	201.53	328.929	290.79	294.542
XLOC_000866	5.49162	6.50987	7.17154	3.57738	10.7946	2.25428	5.15242	6.96948	7.55738	4.6328	16.3278	8.53745
XLOC_000868	21.9665	34.1768	24.2039	20.2718	29.4398	18.0343	41.2193	32.8561	30.2295	15.0566	12.4402	12.0947
XLOC_000869	86.7675	106.599	126.398	48.8909	86.3568	84.5356	204.379	227.006	231.76	130.877	65.3111	67.5881
XLOC_000870	171.338	137.521	130.881	121.631	97.1514	153.291	270.502	294.709	254.432	86.8651	108.852	77.5485
XLOC_000896	4.39329	4.06867	1.79288	0	0	0	0.858736	2.98692	0	0	8.55264	2.84582
XLOC_000904	7.68826	12.206	13.4466	51.2758	39.2531	61.9928	20.6097	27.8779	18.8934	33.5878	38.0981	19.9207
XLOC_000923	0	0	0	0	0	0	0	0	0	5.79101	2.33254	6.40308
XLOC_000925	10.9832	6.50987	1.79288	0	0	0	2.57621	6.96948	3.77869	4.6328	7.77513	4.26872
XLOC_000927	41.7363	44.7554	40.3399	189.601	128.554	160.054	89.3086	128.437	98.2459	239.748	212.261	165.769
